,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,24.89,25.025,24.61,24.62,55484307,51.85,52.57,51.52,52.06,22642122,200.99,204.58,200.0,203.42,1806868,97.25,97.95,96.54,96.75,16216903,46.8,47.61,46.55,47.38,11657353,27.27,27.625,26.89,27.35,32808327
2020-06-19,25.44,25.49,24.49,25.25,127563637,54.06,54.09,51.56,52.92,50379310,207.05,207.4228,200.97,201.63,4962438,100.53,100.6,96.73,97.81,40371167,48.46,48.68,46.71,46.93,20962699,28.0,28.05,27.01,27.6,71891222
2020-06-18,24.7,25.49,24.58,25.04,53419011,52.67,53.65,52.03,53.04,22280593,203.99,207.26,202.67,203.84,2051659,98.67,100.52,98.13,98.94,16591911,47.12,48.375,46.97,47.58,9825246,27.1,27.925,26.93,27.55,33670192
2020-06-17,25.9,25.9,24.92,25.0,58349482,54.7,54.8,52.88,53.0,23727272,210.0,210.79,205.44,206.19,1798324,102.53,102.54,99.21,99.48,15639830,48.7,48.78,47.655,47.76,8674443,28.5,28.55,27.35,27.45,38660809
2020-06-16,26.18,26.24,24.86,25.8,96796548,56.3,56.4,52.32,54.45,37638702,214.98,214.98,203.73,209.59,3103691,105.37,105.68,99.31,102.06,22193575,49.44,49.6,46.91,48.56,13554814,29.43,29.65,27.77,28.52,52985585
2020-06-15,23.76,25.17,23.69,25.15,76538947,49.96,53.0,49.74,52.98,36592056,195.73,206.9932,195.15,206.31,3468788,96.42,101.43,95.87,101.25,22153641,44.66,47.85,44.6,47.4,14761443,26.86,28.385,26.56,28.21,48311406
2020-06-12,25.03,25.05,24.04,24.78,73729708,51.4,52.45,49.8,52.25,39040017,200.62,202.94,196.21,201.78,3380817,100.71,101.13,97.33,99.87,24856764,46.76,46.945,45.12,46.28,14093076,28.0,28.23,27.35,27.97,51301222
2020-06-11,24.98,25.69,23.68,23.93,149875451,51.67,53.515,48.2,48.39,62098621,204.7,206.9,194.02,194.13,4923410,100.03,101.58,96.54,97.21,36259224,46.13,47.2,44.44,44.57,17961917,27.2,28.425,26.7,26.79,75621263
