Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,22.93,22.9502,22.46,22.66,48107033,44.77,45.045,43.69,44.1,22631719,180.03,180.64,178.06,179.93,2176407,90.01,90.36,88.72,89.47,13557923,40.23,40.54,39.8,40.13,6468870,24.44,24.49,23.92,24.17,30415297
2020-05-21,22.81,23.27,22.78,22.9,57725994,45.17,45.79,44.782,45.0,21698324,180.2,181.17,177.68,180.1,2153769,90.27,91.76,89.67,90.17,14621406,40.77,40.93,39.84,40.3,9654223,24.39,24.85,24.3201,24.46,28376528
2020-05-20,22.68,23.0,22.64,22.91,59789478,45.57,46.28,45.22,45.47,23841345,180.95,183.83,180.3,181.44,2599855,90.71,92.385,90.37,91.33,20552362,40.07,41.25,40.0386,41.06,12031995,24.49,24.74,24.36,24.52,45297081
2020-05-19,22.66,23.0,22.185,22.21,62178965,45.27,45.79,44.21,44.43,27271584,180.56,182.185,177.72,177.83,2210480,90.05,91.1987,88.59,88.67,19597291,40.1,40.5476,39.29,39.33,8895495,25.0,25.15,23.92,23.95,48234338
2020-05-18,22.42,23.06,22.07,22.93,86699200,44.05,45.91,43.49,45.67,39406071,177.71,183.1,175.24,181.88,4512571,88.69,91.15,87.88,90.45,30528734,38.92,40.65,38.68,40.28,14727110,24.55,25.59,24.34,25.41,55751418
2020-05-15,21.4,21.6979,21.225,21.44,64483957,41.58,42.45,41.1,41.92,28494867,173.48,174.09,170.58,171.87,2867769,86.85,87.28,85.3,85.9,26099044,37.26,37.81,37.02,37.29,9176032,23.69,23.83,23.08,23.36,51616656
2020-05-14,20.29,21.79,20.1,21.71,88359139,39.99,42.1,38.76,42.06,40976448,169.04,174.78,165.36,174.45,4176657,82.72,88.11,82.4,87.52,35152452,36.26,37.965,35.53,37.81,14986649,22.13,24.59,22.02,24.06,87965504
2020-05-13,21.66,21.75,20.72,20.87,112113394,42.0,42.2,40.23,40.6,35350610,175.66,176.88,170.76,171.8,3445251,86.38,86.86,83.4,84.03,35451600,38.15,38.28,36.605,36.99,11565874,23.95,23.95,22.0,22.53,90209918
2020-05-12,22.71,22.82,21.85,21.87,69588705,44.39,44.69,42.32,42.35,33328252,183.89,184.3,176.75,177.21,3549190,90.15,90.79,86.9,87.03,27962923,39.97,40.07,38.345,38.42,13605558,24.96,25.265,24.0,24.04,53560500
2020-05-11,23.11,23.12,22.56,22.58,68951801,45.21,45.25,43.81,44.07,34765225,182.54,184.85,181.26,183.16,2212324,91.11,91.11,89.33,89.97,31907585,39.38,40.06,39.3,39.83,10106435,25.11,25.23,24.6,24.78,51444166
2020-05-08,23.47,23.62,23.25,23.57,45250012,45.32,46.42,45.26,46.32,22919094,185.03,185.91,182.74,185.39,2282566,92.8,94.08,92.11,92.7,20494915,39.51,40.165,39.2,40.08,12097712,25.64,25.78,25.23,25.43,53768812
2020-05-07,22.66,23.37,22.61,22.84,51884257,43.52,45.16,43.4375,44.64,29849053,179.18,183.38,179.18,182.32,2480533,91.34,92.91,90.58,91.21,16771938,37.76,39.14,37.76,38.81,9352100,25.59,26.1,25.14,25.23,52386991
2020-05-06,23.0,23.08,22.23,22.35,53874593,44.49,45.02,42.72,42.95,25028023,179.68,181.2,175.2115,176.92,2408676,92.16,92.76,89.9306,90.27,20978035,38.47,38.63,37.05,37.3,7817785,25.933000000000003,26.119,24.894000000000002,25.1,58905941
2020-05-05,23.48,23.515,22.62,22.66,45691920,46.3,46.35,43.92,43.95,27342878,179.1,182.6,178.14,178.3,3272990,93.65,94.21,91.9,92.0,18064140,38.98,39.305,37.9,37.98,8951215,26.971999999999998,27.246,25.726999999999997,25.796,57906544
2020-05-04,22.7,22.99,22.43,22.93,45886132,45.03,45.36,43.98,45.12,26340199,175.0,176.31,171.72,176.03,2990142,92.02,92.67,90.8,92.14,15725875,38.0,38.22,37.17,38.09,13985071,26.423000000000002,26.903000000000002,26.07,26.805,35041709
2020-05-01,23.38,23.46,22.8128,23.08,51772619,46.31,46.47,45.22,45.52,28078944,179.0,179.595,176.65,177.1,2650183,93.5,93.74,91.835,93.25,18547741,38.35,38.72,37.91,38.4,12806181,27.932,27.962,26.737,27.041,35912737
2020-04-30,24.21,24.38,23.85,24.05,55244086,48.555,49.247,47.535,48.05,28991512,186.0,187.55,182.8999,183.42,2695447,95.6,96.84,94.55,95.76,19127632,39.9,40.11,39.0,39.43,13431739,28.736,29.02,28.03,28.471,30105613
2020-04-29,24.91,25.11,24.51,24.78,73493911,49.178000000000004,50.118,47.946000000000005,49.732,33290722,192.61,193.72,189.57,190.03,3086258,99.08,99.45,97.27,97.86,20462562,41.1,41.355,40.55,40.79,15880383,29.500999999999998,29.853,29.06,29.403000000000002,39297747
2020-04-28,24.45,24.81,23.845,23.89,65504910,48.426,49.068999999999996,46.437,46.714,29280797,189.16,190.42,184.87,187.01,3344730,97.81,98.3599,95.03,95.29,20238900,40.216,41.019,39.493,39.78,12890793,29.011,29.324,28.021,28.295,35902992
2020-04-27,22.52,23.65,22.45,23.47,66916692,43.706,46.328,43.271,46.071000000000005,31257481,179.1,184.25,178.72,183.54,2743124,91.94,95.63,91.5449,94.62,22870210,38.303000000000004,39.205,37.996,38.967,11721602,26.825,28.008000000000003,26.619,27.844,40410877
2020-04-24,22.11,22.3,21.67,22.18,47675736,42.548,42.885,41.292,42.647,26589605,177.0,177.95,173.49,177.0,2024646,90.64,91.1,88.49,90.71,15815286,37.639,37.857,36.935,37.639,8646754,26.266,26.747,25.845,26.384,35887409
2020-04-23,21.96,22.39,21.85,21.87,50614823,42.202,43.281000000000006,41.816,42.013999999999996,24225111,177.0,179.07,174.45,175.05,2013306,89.74,91.28,89.26,89.39,16638765,37.768,38.055,36.955,37.143,8771290,26.413,26.668000000000003,25.894000000000002,26.002,39110368
2020-04-22,22.16,22.23,21.75,21.8,49759122,42.548,42.667,41.41,41.79600000000001,22144152,177.5,178.18,174.47,175.98,2316558,90.69,91.87,89.18,89.34,16706026,37.54,37.847,37.113,37.48,10547157,26.951999999999998,27.029,26.168000000000003,26.266,28648961
2020-04-21,21.9,22.365,21.5,21.64,78871343,41.905,42.657,40.639,41.133,35711219,175.44,179.2,173.66,173.81,3818970,88.62,91.3839,88.33,89.05,23035023,36.975,37.806999999999995,36.241,36.628,14259217,26.364,26.706999999999997,25.971999999999998,26.305999999999997,42770468
2020-04-20,22.57,23.13,22.18,22.5,74446282,42.93899999999999,44.963,42.435,43.548,33827211,179.7,186.32,178.0221,180.4,4674763,92.47,94.71,90.46,91.71,23679430,37.857,39.195,37.49,38.025,16719597,26.781,28.315,26.384,27.129,46364916
2020-04-17,22.34,23.4,22.31,23.28,92800270,42.696999999999996,45.141000000000005,42.202,44.973,41690805,183.49,185.28,178.29,183.49,5426703,92.0,95.7,90.96,95.18,30191898,39.205,39.75,37.857,38.749,25295083,27.589000000000002,28.206999999999997,27.246,27.815,47939627
2020-04-16,22.15,22.21,21.09,21.42,89213331,42.261,42.39,39.679,40.094,38156742,177.22,178.44,172.39,177.04,4662186,90.23,90.57,87.05,87.33,32449619,37.53,38.481,36.747,38.025,28158592,27.717,27.717,26.129,26.355,54038218
2020-04-15,22.16,22.65,21.91,22.19,99082222,42.915,43.805,42.162,42.41,32591277,170.63,181.68,169.15,178.52,6042720,91.15,92.03,90.13,90.79,30118621,37.876999999999995,39.066,37.262,38.065,15727222,28.197,28.53,27.658,27.874000000000002,42734893
2020-04-14,24.5,24.65,23.1,23.73,88991066,47.159,47.239,43.068000000000005,44.943000000000005,40895681,182.35,183.38,174.543,178.23,4149605,101.02,102.0,93.64,95.5,46151255,40.157,40.414,38.035,39.512,14599180,31.471,31.853,28.971,29.579,65572875
2020-04-13,24.78,24.85,23.78,23.92,83164717,47.001000000000005,47.07,44.795,46.19,28240922,183.85,184.97,179.13,179.18,4774325,103.11,103.11,97.3,98.19,26911949,40.523,40.641999999999996,38.908,39.235,13487500,32.558,32.578,30.784000000000002,30.804000000000002,36801776
2020-04-09,24.07,25.32,24.05,24.86,125414787,46.446999999999996,48.703,45.878,46.912,44122618,180.58,187.328,179.77,184.26,6449870,96.92,104.39,96.89,102.76,42084666,39.909,41.485,39.83,40.722,22097116,30.5,33.235,30.480999999999998,32.539,63790906
2020-04-08,22.41,23.6,22.41,23.45,81212298,42.4,43.978,41.528999999999996,43.795,33294504,168.55,178.0974,168.55,176.96,5194782,92.1,94.86,90.55,94.3,22903255,37.381,39.438,37.123000000000005,39.027,15511991,28.756,29.868000000000002,28.109,29.677,43071429
2020-04-07,22.8,22.88,21.85,22.14,94560305,44.339,45.111000000000004,40.688,40.817,35594570,166.0,169.1388,162.45,166.02,4953506,94.45,94.5,90.38,90.64,22563810,39.314,39.314,36.539,36.618,19708585,30.138,30.166999999999998,28.138,28.197,40026983
